Species,N,"Country: Locality/Reference","Accession number"
Sicydium altum,7,Panama: Rio Bongie,MG937257
_,_,Panama: Rio Azucar,MG937255
_,_,Panama: Rio Acla,MG937258
_,_,Panama: Rio Cocle del Norte,MG937254
_,_,Panama: Rio Culubre,MG937256
_,_,"Panama: Chagres, Rio Cascajal",MG937259
_,_,Costa Rica: Rio Sixaola,MG496235
Sicydium brevifile,1,West Africa: Taillebois et al. (2014),KF668875
Sicydium buscki,33,Puerto Rico: Engman et al. (2019),"MK655489–MK655491, MK655499, MK655500, MK655508, MK655510, MK655514, MK655515, MK655517, MK655519, MK655530, MK655534, MK655536, MK655543, MK655548, MK655565, MK655572, MK655573, MK655575, MK655579–MK655582, MK655584, MK655588, MK655590, MK655593, MK655599–MK655601, MK655978, MK656010"
_,9,Cuba: Rio Yumurí (This study),MZ848370–MZ848378
Sicydium crenilabrum,2,West Africa: Taillebois et al. (2014),"KF668873, KF668874"
Sicydium plumieri,95,Puerto Rico: Engman et al. (2019),"MK655603–MK655605, MK655607, MK655610, MK655614, MK655619, MK655624, MK655630, MK655632, MK655633, MK655635, MK655637, MK655649, MK655651, MK655656, MK655662, MK655663, MK655666, MK655667, MK655673, MK655679, MK655685, MK655688, MK655693, MK655694, MK655707, MK655715, MK655716, MK655718–MK655723, MK655725, MK655728, MK655729, MK655732, MK655734, MK655745, MK655753–MK655755, MK655758, MK655762, MK655763, MK655768, MK655795, MK655797, MK655799, MK655804, MK655811–MK655813, MK655816, MK655821, MK655823, MK655824, MK655834, MK655835, MK655840, MK655846, MK655849, MK655850, MK655853, MK655854, MK655856–MK655858, MK655863, MK655870–MK655874, MK655877, MK655883, MK655885, MK655886, MK655890–MK655894, MK655900, MK655903, MK655905, MK655908–MK655910"
_,_,Guadeloupe: Keith et al. (2011),"HQ639046, HQ639047"
_,_,Guadeloupe: Taillebois et al. (2014),"KF668856, KF668857"
Sicydium punctatum,53,Puerto Rico: Engman et al. (2019),"MK655675, MK655919, MK655920, MK655926, MK655928, MK655930, MK655931, MK655933, MK655935, MK655937, MK655943, MK655947, MK655950, MK655955, MK655958, MK655959, MK655963–MK655966, MK655968–MK655970, MK655972, MK655977, MK655979, MK655980, MK655987, MK655990, MK655992, MK655995, MK655998, MK656002, MK656005, MK656007, MK656008, MK656011–MK656015, MK656020, MK656023, MK656024, MK656026–MK656029"
_,_,Guadeloupe: Keith et al. (2011),HQ639048–HQ639050
_,_,Guadeloupe: Taillebois et al. (2014),"KF668854, KF668855"
Sicydium salvini,8,Nicaragua: Rio Grande,"MG496236, MG496238"
_,_,Costa Rica: Rio Salama Nuevo,MG496237
_,_,Panama: Rio Chiriqui Viejo,MG937260
_,_,Panama: Rio Mamoni,MG937261
_,_,Panama: Rio Cocle del Sur,MG937262
_,_,Panama: Rio Yape,MG937263
_,_,Panama: Rio Lajas,MG937264
Awaous banana,2,USA: Bouge Sound,"MT455852, MT455993"
Awaous ocellaris,2,India: Bharuch,"JX983227, JX983228"